,Smiles,Molecule ChEMBL ID
131,CS(=O)(=O)c1ccc(-n2nc(-c3ccc(O)cc3)cc2-c2ccc(C(F)(F)F)cc2)cc1,CHEMBL4160954
132,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)c3cccc4ccn2c43)cc1,CHEMBL4172247
133,CS(=O)(=O)c1ccc(C2NN=C(c3ccc([N+](=O)[O-])cc3)O2)cc1,CHEMBL4166937
134,CS(=O)(=O)c1ccc(-c2[nH]c(I)cc2-c2ccc(F)cc2)cc1,CHEMBL127120
135,COc1c(Cl)cc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1Cl,CHEMBL321160
136,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1F,CHEMBL111314
137,CS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)c(Cl)c2)cc1,CHEMBL52760
138,CC1(O)OC(=O)C(c2cccc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL273340
139,CC1(O)OC(=O)C(c2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL416363
140,COc1ccc2c(c1)c1c(n2C(=O)c2ccccc2)CCN(CCCOc2cc(F)cc(C3(OC)CCOCC3)c2)C1.Cl,CHEMBL1163237
141,NS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)NC2=O)cc1,CHEMBL595838
142,CSc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL45197
143,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Cl)c2)cc1,CHEMBL42175
144,CC(C)(C)c1cc(-c2cccs2)cc2c1OCC2(C)C,CHEMBL118839
145,Cc1ccc(Oc2c(-c3ccc(S(C)(=O)=O)cc3)oc(C)cc2=O)cc1,CHEMBL127868
146,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2F)cc1,CHEMBL44926
147,N#Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1NC(=O)CCl,CHEMBL4531165
148,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)ccc(F)c2F)cc1C,CHEMBL184389
149,CC(=O)Nc1c(C#N)cnn1-c1ccc(S(=O)(=O)NC(C)=O)cc1,CHEMBL4465079
150,COc1ccc2c(c1)c(CC(=O)OCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95643
151,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,CHEMBL18264
152,CCCCC#CCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL95988
153,Cc1cn(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)cc2)n1,CHEMBL46761
154,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2cc(F)cc(F)c2)cc1,CHEMBL155980
155,NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1,CHEMBL110846
156,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,CHEMBL865
157,CCC#CCC(C)OC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL318053
158,COc1ccc2c(c1)c(CC(=O)NOCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL421385
159,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(C(=O)O)nc2)cc1,CHEMBL268470
160,CCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL328864
161,COc1ccc2c(c1)c(Cc1nc(-c3ccc(Cl)cc3)cs1)c(C)n2C(=O)c1ccc(Br)cc1,CHEMBL28220
162,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,CHEMBL297008
163,CN(C)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F,CHEMBL44977
164,COc1cc(F)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,CHEMBL43089
165,CN(C)c1c(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,CHEMBL43553
166,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)nc1,CHEMBL327078
167,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL331148
168,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(N)cc2)cc1,CHEMBL117708
169,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cc(F)cc(F)c2)cc1,CHEMBL68873
170,CC(=O)N1N=C(c2ccc(S(C)(=O)=O)cc2)CC1c1ccc(C(F)(F)F)cc1,CHEMBL1632399
171,COc1ccc2c(c1)c(Cc1nc(-c3cccc(Br)c3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL24407
172,COc1cccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)sc3ncnn23)c1,CHEMBL347378
173,COc1ccc2c(c1)c(Cc1nc(-c3ccc([N+](=O)[O-])cc3)cs1)c(C)n2C(=O)c1ccc(Br)cc1,CHEMBL26829
174,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1C,CHEMBL54326
175,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,CHEMBL17184
176,CC(=O)OCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,CHEMBL294971
177,CS(=O)(=O)c1ccc(C2=CC3(C=C2c2ccc(F)cc2)CC3)cc1,CHEMBL89429
178,Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1,CHEMBL92102
179,CCSc1ccccc1OC(C)=O,CHEMBL342317
180,CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,CHEMBL13980
181,CS(=O)(=O)c1ccc(-c2cc(Cl)c(Cl)cc2-c2ccc(F)cc2)cc1,CHEMBL54945
